Cluster,Modality,Feature,Score,SHAP Value
C11,RNA,BRINP3,0.9999999999999999,0.7720372127835203
C11,RNA,PIGR,0.31480034736240836,0.10350931929975302
C11,RNA,G0S2,0.34164708977191877,0.1297028470997796
C11,RNA,LCT,0.5635847141759671,0.34624045326535813
C11,RNA,LTF,0.2650164751671684,0.05493675058925493
C11,RNA,FDCSP,0.3654766067129222,0.1529525622769277
C11,RNA,CXCL8,0.5926920076027802,0.3746395300668949
C11,RNA,BMPR1B,0.4849253992654638,0.2694950172489037
C11,RNA,STC2,0.31785419673691373,0.10648886472347877
C11,RNA,PTHLH,0.4163996963385665,0.20263662984186406
C11,RNA,RNASE1,0.28698944364832185,0.07637508943800528
C11,RNA,DHRS2,0.6388043462068684,0.41962989816170493
C11,RNA,IGHA1,0.3282982653567412,0.11667881617330253
C11,RNA,FSIP1,0.3484991554861797,0.13638819353907508
C11,RNA,PYDC1,0.2523225555600223,0.04255168982287691
C11,RNA,CLEC3A,0.42465378089495215,0.2106898822623465
C11,RNA,KRT14,0.3864959304159629,0.17346045971026078
C11,RNA,SOCS3,0.2854947737763062,0.07491678674163657
C11,Protein,BMPR1B,0.4177036422442078,0.30236823849441585
C11,Protein,BRINP3,0.7276607244544789,0.6737185009052434
C11,Protein,CRISPLD2,0.23729288138131482,0.08622352932876634
C11,Protein,CXCL8,0.46414696807226435,0.358010591011402
C11,Protein,DHRS2,0.3090089648018263,0.1721444129794166
C11,Protein,G0S2,0.5743118918030627,0.489995874406695
C11,Protein,IGHA1,0.2779547203978185,0.13493925629719208
C11,Protein,ITPRID2,0.34742795365541757,0.2181730485911729
C11,Protein,LCT,0.41008150064005866,0.2932363797717521
C11,Protein,LTF,1.0,0.9999999999999999
C11,Protein,MDK,0.30411254402770727,0.16627815844386304
C11,Protein,MTBP,0.2654586194006496,0.11996805334444624
C11,Protein,PIGR,0.20671086239208028,0.049584131720161434
C11,Protein,PTGS2,0.24378202453238113,0.09399797666446283
C11,Protein,PTHLH,0.4151255236683941,0.2992794721309321
C11,Protein,PYDC1,0.2849354551526343,0.14330266475534323
C11,Protein,REPS2,0.2627427088160597,0.1167142025174869
C11,Protein,S100A8,0.3420143368989084,0.21168715709682231
C11,Protein,S100A9,0.36731162770829506,0.24199508074018614
C11,Protein,TACSTD2,0.2622917235184808,0.11617389058976738
C11,Niche,S100A9,0.3267104209456117,0.02699242247609887
C11,Niche,S100A8,0.3440019381066322,0.03903813703969422
C11,Niche,BRINP3,1.0,0.4960232202024548
C11,Niche,G0S2,0.5038034395067332,0.15035996350376327
C11,Niche,IL1RN,0.3741886131957472,0.06006694951238836
C11,Niche,LCT,0.38995931684235935,0.07105322635698949
C11,Niche,SPAG16,0.29276879808141654,0.0033478170293916865
C11,Niche,CXCL8,0.9206635413311155,0.44075540727935425
C11,Niche,BMPR1B,0.5969837793935455,0.21527177932438826
C11,Niche,AKAP12,0.2879630362222874,0.0
C11,Niche,POU2AF1,0.3285325005691946,0.028261729897387483
C11,Niche,CD163,0.31883813072836914,0.021508383103749695
C11,Niche,DHRS2,0.38506790939007285,0.06764574640969437
C11,Niche,IGHA1,0.38135210574363687,0.0650572222401534
C11,Niche,FSIP1,0.30827776263556766,0.014151759705824635
C11,Niche,ADGRG3,0.2969472089811022,0.006258605282286583
C11,Niche,CLEC3A,0.774422133008532,0.3388798896120503
C11,Niche,KRT14,0.3326046143853673,0.031098468874269425
C11,Niche,ZFP36,0.3148418358674302,0.018724461556637012
C11,Niche,FOSB,0.4551523235508063,0.11646834771619366
C2,RNA,ZNF385B,0.33076169668723976,0.10196102847582533
C2,RNA,IGFBP5,0.35984935958513936,0.1409932457645957
C2,RNA,LTF,0.2998837889539024,0.06052651349603111
C2,RNA,CPB1,0.49242482137232435,0.3188938990346848
C2,RNA,AREG,0.2815935715229946,0.03598319616153334
C2,RNA,BMPR1B,0.3777559744616849,0.16502181365679736
C2,RNA,MZB1,0.3809525112298841,0.16931118947037982
C2,RNA,ELOVL2,0.27177524017154814,0.022808152017630035
C2,RNA,AGR3,0.33930287433131306,0.11342228278407468
C2,RNA,ADCY1,0.29439143377015514,0.053156419799895493
C2,RNA,CA2,1.0,1.0
C2,RNA,SLC30A8,0.25539752864594867,0.0008311923284362588
C2,RNA,GFRA1,0.2581358742542417,0.004505729577091
C2,RNA,MUC5B,0.2547781059246104,0.0
C2,RNA,MS4A1,0.32577362010418814,0.09526761726138377
C2,RNA,DHRS2,0.28074582175344415,0.03484561582970169
C2,RNA,SERPINA6,0.7869277503046872,0.7140821393074133
C2,RNA,SERPINA5,0.306246851138212,0.06906499342381744
C2,RNA,IGHA1,0.3151738528315669,0.08104397815886843
C2,RNA,CD79A,0.40489665901007266,0.20144141534075166
C2,Protein,ADCY1,0.7244281586719796,0.30274027229840594
C2,Protein,AGR3,0.8110916926084156,0.37912776823766203
C2,Protein,AIMP1,1.0,0.5456364704370249
C2,Protein,ARHGAP29,0.983703382311629,0.5312722071656113
C2,Protein,CA2,0.7033190956407763,0.2841341943630171
C2,Protein,DHRS2,0.511273499049893,0.11486020375356609
C2,Protein,IGFBP5,0.69071821877511,0.2730274533072792
C2,Protein,IGHA1,0.4354149110205662,0.047996468548652416
C2,Protein,LTF,0.4692698799897145,0.07783711994132753
C2,Protein,MDK,0.41915437919275317,0.03366401229458088
C2,Protein,MZB1,0.7211440705468295,0.2998455914917352
C2,Protein,NPY1R,0.6884838824753068,0.27105805109996395
C2,Protein,PPM1H,0.6498113648939519,0.23697108688877377
C2,Protein,PYDC1,0.44605642201115225,0.05737617349095436
C2,Protein,SDK2,0.5000630829106919,0.10497905099629817
C2,Protein,SERPINA5,0.45409793358144485,0.06446417122794662
C2,Protein,SERPINA6,0.5728735835556941,0.1691561225940783
C2,Protein,SQLE,0.46756201267217506,0.07633176120671814
C2,Protein,TMEM64,0.7453331846230706,0.32116650663729474
