,dis,rank
Fgf13,140.15719050872406,1
Pak3,37.6659692122549,2
Gpc3,19.349658464271712,3
Ednrb,6.824960865085284,4
Nefm,3.717057445429278,5
Nefl,3.693052094684444,6
Msx3,3.3693194014131143,7
Pax3,2.6877792039849897,8
Glra1,2.6455840946993963,9
Gap43,2.591785966074392,10
