,dis,rank
Col3a1,6840508.911831068,1
Ednrb,445.76110033234596,2
Glra1,375.12464183009246,3
Acvr2b,361.729470442156,4
Hbb-y,335.64766265166776,5
Ptprz1,288.5117146177296,6
Fbn2,284.3781604540524,7
Hba-x,276.90833246427854,8
Hbb-bh1,272.5651308439813,9
Cnn2,242.48078220512159,10
