,dis,rank
Lmo1,111417.10962431195,1
Col3a1,40.5568888275584,2
Hbb-y,24.148445688771627,3
Hba-x,23.702604744838474,4
Hba-a2,21.490371780025818,5
Ptprz1,19.45064554984176,6
Hbb-bh1,18.638980997262664,7
Lhx2,18.029903009547652,8
Foxg1,17.82359902076007,9
Hba-a1,17.250670601830866,10
