,dis,rank
Ptch1,1003.9768562104152,1
Col3a1,30.315360438360525,2
Ednrb,24.179123270203437,3
Foxg1,18.50787021083692,4
Hbb-y,13.9538088008182,5
Hba-a2,12.693636779602828,6
Fbn2,12.621877971574156,7
Tshz1,11.586998460933785,8
Hba-x,11.028517914326532,9
Hbb-bh1,10.854679609614127,10
