,dis,rank
Hbb-y,45.231986124647804,1
Crcp,0.6962601339316472,2
Col3a1,0.07471820651814887,3
Hba-x,0.07234377937196923,4
Hba-a2,0.06811496615637758,5
Hbb-bh1,0.06187337922034741,6
Ednrb,0.061069874459023454,7
Hba-a1,0.05513457324792914,8
Glra1,0.054623717658622395,9
Lhx2,0.03642471294018956,10
