,dis,rank
Hoxb5,109495.26463050162,1
Ednrb,126.42940971123622,2
Glra1,118.80103803039793,3
Hba-x,92.02161493368101,4
Hbb-y,91.89050280480804,5
Hoxa5,91.69559713640935,6
Hba-a2,81.21010259999495,7
Hbb-bh1,75.03965172135207,8
Meis1,73.69635883835271,9
Hoxd4,72.96446387666754,10
