,dis,rank
Six2,14760.662901652166,1
Col3a1,159.53746822884222,2
Rbp1,68.7434394786119,3
Vcan,52.664543739450096,4
Ptprz1,51.76621698960306,5
Col1a2,45.44649910820668,6
Fbn2,44.596754125031026,7
Hbb-y,40.984491645011,8
Cnn2,35.966418574981915,9
Hba-a2,35.6956149423662,10
