,dis,rank
Hoxa2,179493.8400566491,1
Ednrb,51.12557152735003,2
Glra1,48.234950762215234,3
Hbb-y,43.767021586281636,4
Hba-x,42.33178531499629,5
Hba-a2,38.58427794644919,6
Hoxa5,38.26645824291333,7
Hbb-bh1,36.301399406528375,8
Hba-a1,34.879360500529366,9
Meis1,31.27899508109445,10
