,dis,rank
Nefm,77497.03327103333,1
Col3a1,392.2514379366434,2
Ednrb,381.9826123681701,3
Ptprz1,287.7867683500452,4
Lhx2,279.60525318897544,5
Glra1,275.7619559267108,6
Foxg1,275.438482713086,7
Nr2e1,191.78032760247078,8
Hoxa5,166.64823081228923,9
Hbb-y,152.84759718213795,10
