,dis,rank
Dab2,7181.399219631462,1
Glra1,110.97217682955241,2
Hbb-y,95.37750665365435,3
Col3a1,90.30551284615665,4
Hba-x,88.5342477442394,5
Hba-a2,80.84987449174248,6
Ptprz1,77.58085467254824,7
Hbb-bh1,76.45439914177429,8
Acvr2b,71.94716431429451,9
Hba-a1,71.11172218487548,10
