,dis,rank
Alx3,936.6466721012296,1
Glra1,62.46032995260724,2
Hoxa5,52.24164162557681,3
Lhx2,51.28891467509528,4
Foxg1,43.91754004609067,5
Hbb-y,42.141150404456084,6
Hoxd4,40.45877916436182,7
Hba-x,40.30200472399999,8
Nr2e1,38.21886057785978,9
Hba-a2,35.60481010527844,10
