,dis,rank
Cnn1,472.22502729150204,1
Col3a1,5.239141467865031,2
Hbb-y,3.5617497990174165,3
Hba-x,3.3019639623500616,4
Hba-a2,3.1628367031648636,5
Hbb-bh1,2.809399417678737,6
Hba-a1,2.7535217290018235,7
Fbn2,1.1469226989166388,8
Cnn2,0.9724929015892063,9
Col4a1,0.8399865881844151,10
