,dis,rank
Rnd2,175504.57915935657,1
Col3a1,31.57020798069128,2
Hbb-y,30.93362686999616,3
Hba-x,29.74055478808146,4
Glra1,27.821224338530808,5
Hba-a2,27.61263381136754,6
Ednrb,27.296725934087025,7
Hbb-bh1,25.842325222479893,8
Hba-a1,24.278836012117743,9
Hoxa5,20.247030223498747,10
