,dis,rank
Gbx2,30843.60201683176,1
Hbb-y,19.46862267856603,2
Glra1,18.6777736399746,3
Col3a1,18.603819080119525,4
Hba-x,18.30454437324458,5
Hba-a2,17.865558470938335,6
Ednrb,17.683256160293357,7
Fbn2,17.083412193837038,8
Hba-a1,15.831505249526636,9
Hbb-bh1,15.719584973045833,10
