,dis,rank
Sulf1,8831.973379085162,1
Rbp1,41.39559501729424,2
Col3a1,40.549806789494525,3
Ptprz1,30.02701381917188,4
Foxg1,20.14741930261157,5
Lhx2,17.132470749792354,6
Glra1,16.410698481978365,7
Meis1,16.277970234642176,8
Fbn2,13.815941754513204,9
Col1a2,13.499228874912005,10
