,dis,rank
Ank2,3149.3218233264515,1
Msx3,60.49336084304723,2
Pax3,46.44580741555478,3
Pak3,45.90772096810787,4
Rarb,26.19108026196262,5
Wnt4,22.91956121093591,6
Ednrb,21.741148220597506,7
Col3a1,19.973775190985876,8
Gpc3,18.78459101230586,9
Hbb-y,18.352553306233286,10
