,dis,rank
Lzts2,42.54603273632349,1
Meis1,12.316174311170721,2
Rbp1,7.9262257000765075,3
Sox9,2.5237072889815964,4
Col3a1,2.1917706073899064,5
Gpc3,2.155521899441617,6
Hbb-y,1.2174389297604922,7
Cxcl12,1.122097512816293,8
Hba-x,1.051909827850356,9
Hba-a2,1.037661247257403,10
