,dis,rank
Hoxd4,1125103.9032446393,1
Glra1,185.24252809254287,2
Ednrb,170.5904028875099,3
Hoxa5,145.3347598544484,4
Msx3,85.55782391459378,5
Lhx2,67.18702794069486,6
Pax3,65.56087042990194,7
Hbb-y,54.783600927046756,8
Ptprz1,52.4583337148008,9
Tshz1,51.672837523097385,10
