,dis,rank
Pdlim7,1370.7901750114884,1
Foxg1,9.176609852384969,2
Col3a1,5.856105262376792,3
Hbb-y,2.3205139401722636,4
Hba-a2,2.0500586111663477,5
Hba-x,1.9585886771985086,6
Fbn2,1.8129865739437698,7
Hbb-bh1,1.7962374345017862,8
Hba-a1,1.7466819327602634,9
Cnn2,1.4403487731377718,10
