,dis,rank
Hba-a2,3413015.4382353984,1
Hba-x,1190.1531140501836,2
Hbb-y,971.4075263038497,3
Hba-a1,925.4325769079799,4
Hbb-bh1,760.9186203415694,5
Ednrb,420.7664343365168,6
Glra1,393.4518587551269,7
Col3a1,320.38521488715105,8
Hoxa5,223.52706800421552,9
Tshz1,175.2135085695731,10
