,dis,rank
Cldn6,2064.9674929820726,1
Cnn2,41.31308776760071,2
Hbb-y,37.975247916609575,3
Hba-a2,33.8138656605751,4
Hba-x,30.84526871599661,5
Hbb-bh1,29.63338056359824,6
Hba-a1,29.08809745132209,7
Col3a1,22.501504567089775,8
Meis1,21.30260055840729,9
Ptprz1,19.25641279517714,10
