,dis,rank
Olig2,151701.49107907244,1
Lhx2,53.57379402736046,2
Ptprz1,50.78070027643324,3
Foxg1,49.73200391049458,4
Nr2e1,40.06985976348532,5
Ednrb,34.651395038355666,6
Glra1,33.62694065618859,7
Hoxa5,29.330747947517544,8
Col3a1,27.87471444404499,9
Id4,26.12193513977174,10
