,dis,rank
Pkdcc,3573.2531337826067,1
Hbb-y,32.346413192102034,2
Ptprz1,30.796366407036466,3
Hba-a2,27.329181121961028,4
Hbb-bh1,26.07791865348127,5
Hba-a1,24.156772277008102,6
Pak3,21.341928493163735,7
Wnt8b,20.432898610165246,8
Cntnap2,19.641808094232232,9
Rbp1,12.819705047227448,10
