,dis,rank
Heatr5b,36.75843745884532,1
Nefm,2.915928509822286,2
Nefl,2.898656122636821,3
Gap43,2.117234372962452,4
Ebf1,1.937408679447651,5
Ina,1.9184573424395674,6
Onecut2,1.7178901325867666,7
Stmn2,1.3724240437648674,8
Dcx,1.155748959948503,9
Elavl3,1.1296180943964607,10
