,dis,rank
Mif,3312.0617321418954,1
Foxg1,8.819000172890544,2
Bcl11a,8.29778057382461,3
Id4,8.280609817702517,4
Col3a1,6.374957535267923,5
Smchd1,6.083897305533398,6
Prc1,5.840492466767871,7
Ccdc34,3.99090323350386,8
Phgdh,3.4271527771941743,9
Meis1,3.1855156693492246,10
