,dis,rank
Smap1,3.173837316900988,1
Aagab,0.0,2
Pdlim3,0.0,3
Pbx3,0.0,4
Pcdh19,0.0,5
Pcm1,0.0,6
Pcolce,0.0,7
Pdgfa,0.0,8
Pdhb,0.0,9
Pdlim7,0.0,10
