,dis,rank
Gfra1,733.6087549715481,1
Ednrb,170.14112708817123,2
Msx3,72.29206237342541,3
Pak3,68.30004375014855,4
Pax3,56.09439882698442,5
Col3a1,41.74408266789371,6
Rarb,40.86789446648011,7
Gpc3,34.12290137238802,8
Wnt4,30.995654722890283,9
Glra1,29.778275385782415,10
