,dis,rank
Ctsd,764.4907994338919,1
Foxg1,27.826546583752044,2
Col3a1,18.580998122612147,3
Col4a1,5.309218410858822,4
Col1a2,3.719677214958092,5
Lgals1,3.2166220184918144,6
Gpc3,2.964240541059098,7
Igfbp5,2.0446277647950115,8
Dlk1,1.8226545486518235,9
Cxcl12,1.6119935937693262,10
