,dis,rank
Prox1,74512.3341999025,1
Col3a1,20.39483417734864,2
Hbb-y,18.983033446609095,3
Hba-x,17.039832444435202,4
Hba-a2,16.658107184581503,5
Hbb-bh1,15.740363653783518,6
Hba-a1,15.087896525894664,7
Lhx2,13.58957905296445,8
Ptprz1,13.459484194172953,9
Glra1,11.614960910470757,10
