,dis,rank
Adgrv1,429437.5163206466,1
Col3a1,19.317366987104066,2
Ednrb,18.505205989915805,3
Glra1,15.992669221139835,4
Hbb-y,14.72872642447895,5
Hba-x,12.663342538095863,6
Hba-a2,12.402599280826909,7
Hbb-bh1,12.141136403955478,8
Hba-a1,11.136374880267981,9
Acvr2b,10.663015108481167,10
