,dis,rank
Myl7,6075.940142229853,1
Fbn2,14.062294397396798,2
Glra1,13.478695888709733,3
Cnn2,12.44902434927403,4
Ednrb,12.323858311175904,5
Cntnap2,10.38380193040898,6
Otx2,9.774215959769794,7
Col1a2,8.989119748922354,8
Hbb-y,7.817861214465633,9
Col3a1,7.816356904115137,10
