,dis,rank
Wls,301.35441000171085,1
Ednrb,10.576689179427504,2
Pak3,9.757004712115435,3
Hba-x,8.182410466598768,4
Hbb-y,7.839369221596968,5
Hba-a2,7.365794836830471,6
Hbb-bh1,6.888635035584387,7
Hba-a1,6.417272799693141,8
Msx3,5.155756062547878,9
Glra1,5.07436477361118,10
