,dis,rank
Zdbf2,28772.3290375888,1
Lhx2,27.604458752110418,2
Ptprz1,27.278892089677996,3
Foxg1,23.059096920715437,4
Nr2e1,21.849021755648973,5
Col3a1,20.478433911191846,6
Hoxa5,19.897959070915178,7
Fbn2,19.53366349118954,8
Id4,18.00854246401101,9
Wnt8b,16.723038390682092,10
