,dis,rank
Bach2,53407.80331380649,1
Hbb-y,69.64437433289567,2
Col3a1,66.83046981180642,3
Hba-x,61.032760063529466,4
Hba-a2,58.27640716798207,5
Hbb-bh1,54.497289907049186,6
Hba-a1,51.291273862036356,7
Glra1,49.915451420021896,8
Ednrb,47.246805547652855,9
Hoxa5,32.16371043772605,10
